country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
North Korea,97,,,,,140,,,,,120,,,,,85,,,,,81
Norway,9,,,,,4,,,,,8,,,,,9,,,,,7
Oman,110,,,,,74,,,,,51,,,,,39,,,,,32
Pakistan,490,,,,,440,,,,,380,,,,,310,,,,,260
Panama,100,,,,,110,,,,,110,,,,,100,,,,,92
Papua New Guinea,390,,,,,330,,,,,310,,,,,270,,,,,230
Paraguay,120,,,,,120,,,,,110,,,,,110,,,,,99
Peru,200,,,,,170,,,,,120,,,,,90,,,,,67
Philippines,170,,,,,140,,,,,120,,,,,110,,,,,99
Poland,17,,,,,14,,,,,8,,,,,5,,,,,5
Portugal,15,,,,,10,,,,,8,,,,,8,,,,,8
Qatar,15,,,,,13,,,,,11,,,,,9,,,,,7
Romania,170,,,,,72,,,,,52,,,,,30,,,,,27
Russia,74,,,,,72,,,,,57,,,,,37,,,,,34
Rwanda,910,,,,,1000,,,,,840,,,,,550,,,,,340
Samoa,260,,,,,180,,,,,150,,,,,120,,,,,100
Sao Tome and Principe,150,,,,,120,,,,,110,,,,,87,,,,,70
Saudi Arabia,44,,,,,33,,,,,27,,,,,25,,,,,24
Senegal,670,,,,,590,,,,,500,,,,,430,,,,,370
Serbia,23,,,,,25,,,,,12,,,,,10,,,,,12
Sierra Leone,1300,,,,,1300,,,,,1300,,,,,1000,,,,,890
Singapore,6,,,,,6,,,,,15,,,,,9,,,,,3
Slovak Republic,15,,,,,10,,,,,13,,,,,6,,,,,6
Slovenia,11,,,,,13,,,,,12,,,,,14,,,,,12
Solomon Islands,150,,,,,120,,,,,120,,,,,110,,,,,93
Somalia,890,,,,,970,,,,,1000,,,,,1000,,,,,1000
South Africa,250,,,,,260,,,,,330,,,,,360,,,,,300
South Korea,18,,,,,18,,,,,19,,,,,17,,,,,16
Spain,7,,,,,4,,,,,5,,,,,6,,,,,6
Sri Lanka,85,,,,,74,,,,,58,,,,,44,,,,,35
St. Lucia,64,,,,,55,,,,,46,,,,,40,,,,,35
St. Vincent and the Grenadines,59,,,,,87,,,,,88,,,,,64,,,,,48
Sudan,1000,,,,,930,,,,,870,,,,,800,,,,,730
Suriname,84,,,,,39,,,,,130,,,,,110,,,,,130
Swaziland,300,,,,,290,,,,,360,,,,,420,,,,,320
Sweden,6,,,,,5,,,,,5,,,,,4,,,,,4
Switzerland,7,,,,,6,,,,,6,,,,,6,,,,,8
Syria,240,,,,,160,,,,,120,,,,,89,,,,,70
Tajikistan,94,,,,,160,,,,,120,,,,,79,,,,,65
Tanzania,870,,,,,840,,,,,730,,,,,610,,,,,460
Thailand,54,,,,,54,,,,,66,,,,,54,,,,,48
Timor-Leste,1000,,,,,880,,,,,610,,,,,410,,,,,300
Togo,620,,,,,540,,,,,440,,,,,370,,,,,300
Tonga,67,,,,,86,,,,,87,,,,,100,,,,,110
Trinidad and Tobago,86,,,,,90,,,,,59,,,,,59,,,,,46
Tunisia,130,,,,,110,,,,,84,,,,,68,,,,,56
Turkey,67,,,,,51,,,,,39,,,,,28,,,,,20
Turkmenistan,82,,,,,94,,,,,91,,,,,76,,,,,67
Uganda,600,,,,,590,,,,,530,,,,,420,,,,,310
Ukraine,49,,,,,45,,,,,35,,,,,25,,,,,32
United Arab Emirates,24,,,,,16,,,,,14,,,,,13,,,,,12
United Kingdom,10,,,,,10,,,,,12,,,,,13,,,,,12
United States,12,,,,,12,,,,,14,,,,,18,,,,,21
Uruguay,39,,,,,35,,,,,35,,,,,31,,,,,29
Uzbekistan,59,,,,,36,,,,,33,,,,,32,,,,,28
Vanuatu,220,,,,,180,,,,,120,,,,,110,,,,,110
Venezuela,94,,,,,98,,,,,91,,,,,94,,,,,92
Vietnam,240,,,,,160,,,,,100,,,,,74,,,,,59
Yemen,610,,,,,520,,,,,380,,,,,270,,,,,200
Zambia,470,,,,,530,,,,,540,,,,,500,,,,,440
Zimbabwe,450,,,,,540,,,,,640,,,,,690,,,,,570
